Movie Name,Release Date,Verdict,Adjusted Net Gross,Genre,Runtime,Ratings,Budget,Production Banner,Actors,Director
Darr,1993-12-24,Blockbuster,1914360020.0,Thriller,177 min,62.14% (7 Ratings),32500000.0,Yash Raj Films,"['Sunny Deol', 'Juhi Chawla', 'Shahrukh Khan', 'Anupam Kher']",Yash Chopra
Agni Sakshi,1996-03-29,Blockbuster,1891760070.0,Thriller,142 min,60.71% (7 Ratings),47500000.0,Neha Films,"['Jackie Shroff', 'Nana Patekar', 'Manisha Koirala', 'Divya Dutta']",Partho Ghosh
Rangeela,1995-09-08,Blockbuster,1765488860.0,Love Story,143 min,70.91% (22 Ratings),45000000.0,Ram Gopal Varma Productions,"['Jackie Shroff', 'Aamir Khan', 'Urmila Matondkar', 'Gulshan Grover']",Ram Gopal Verma
Krantiveer,1994-07-22,Blockbuster,1552664650.0,Action,147 min,47.50% (2 Ratings),22500000.0,Mehul Movies Pvt. Ltd.,"['Dimple Kapadia', 'Nana Patekar', 'Atul Agnihotri', 'Mamta Kulkarni']",Mehul Kumar
Ishq,1997-11-28,Super Hit,2009760660.0,Masala,168 min,56.85% (27 Ratings),110000000.0,Baba Films,"['Aamir Khan', 'Ajay Devgn', 'Juhi Chawla', 'Kajol']",Indra Kumar
Pardes,1997-08-08,Super Hit,1969080750.0,Love Story,191 min,61.94% (165 Ratings),100000000.0,Mukta Arts,"['Shahrukh Khan', 'Amrish Puri', 'Mahima Chaudhary', 'Apoorva Agnihotri']",Subhash Ghai
Barsaat,1995-10-06,Super Hit,1909359180.0,Love Story,170 min,61.67% (3 Ratings),82500000.0,Vijayta Films,"['Bobby Deol', 'Twinkle Khanna', 'Raj Babbar', 'Mukesh Khanna']",Rajkumar Santoshi
Biwi No.1,1999-05-28,Super Hit,1898684310.0,Comedy,158 min,69.43% (35 Ratings),120000000.0,Puja Entertainment Ltd.,"['Anil Kapoor', 'Salman Khan', 'Karisma Kapoor', 'Tabu']",David Dhawan
Ziddi,1997-04-11,Super Hit,1786069240.0,Action,160 min,67.00% (10 Ratings),75000000.0,Ratan International,"['Sunny Deol', 'Raveena Tandon', 'Anupam Kher', 'Ashish Vidyarthi']",Guddu Dhanoa
Soldier,1998-11-20,Super Hit,1709037070.0,Action,154 min,65.00% (5 Ratings),82500000.0,Tips Industries Pvt. Ltd.,"['Rakhee', 'Bobby Deol', 'Preity Zinta', 'Farida Jalal']",Abbas - Mustan
Hero No. 1,1997-02-21,Super Hit,1676050760.0,Comedy,137 min,75.71% (7 Ratings),67500000.0,Puja Entertainment Ltd.,"['Govinda', 'Karisma Kapoor', 'Kader Khan', 'Paresh Rawal']",David Dhawan
Jeet,1996-08-23,Super Hit,1666241420.0,Action,164 min,79.58% (24 Ratings),72500000.0,Nadiadwala Grandson Entertainment,"['Sunny Deol', 'Salman Khan', 'Karisma Kapoor', 'Tabu']",Raj Kanwar
Pyaar To Hona Hi Tha,1998-07-24,Super Hit,1665375890.0,Love Story,161 min,85.29% (17 Ratings),75000000.0,Baba Films,"['Ajay Devgn', 'Kajol', 'Bijay Anand', 'Kashmira Shah']",Anees Bazmee
Khiladiyon Ka Khiladi,1996-06-14,Super Hit,1542759140.0,Action,160 min,68.93% (14 Ratings),67500000.0,DMS Films Pvt. Ltd.,"['Rekha', 'Akshay Kumar', 'Raveena Tandon', 'Inder Kumar']",Umesh Mehra
Ghatak,1996-11-08,Super Hit,1522851950.0,Action,152 min,72.50% (6 Ratings),62500000.0,Santoshi Productions,"['Sunny Deol', 'Meenakshi Sheshadri', 'Danny Denzongpa', 'Amrish Puri']",Rajkumar Santoshi
