Movie Name,Release Date,Verdict,Adjusted Net Gross,Genre,Runtime,Ratings,Budget,Production Banner,Actors,Director
Julie,2004-07-23,Semi Hit,310436760.0,Drama,142 min,100.00% (1 Ratings),55000000.0,V.R. Enterprises Pvt. Ltd.,"['Neha Dhupia', 'Priyanshu Chatterjee', 'Yash Tonk', 'Sanjay Kapoor']",Deepak Shivdasani
Style,2001-12-28,Semi Hit,305147410.0,Comedy,159 min,100.00% (1 Ratings),25000000.0,N. Chandra Productions Pvt. Ltd.,"['Sharman Joshi', 'Sahil Khan', 'Riya Sen', 'Shilpi Mudgal']",N. Chandra
Cheeni Kum,2007-05-25,Semi Hit,304474220.0,Rom - Com,140 min,85.00% (1 Ratings),110000000.0,Eros International |  MAD Entertainment,"['Amitabh Bachchan', 'Tabu', 'Paresh Rawal', 'Zohra Sehgal']",R. Balki
Ab Tak Chhappan,2004-02-27,Semi Hit,282932140.0,Drama,129 min,0.00% (0 Ratings),45000000.0,K Sera Sera Productions Ltd. |  Ram Gopal Varma Productions,"['Nana Patekar', 'Yashpal Sharma', 'Prasad Purandare', 'Nakul Vaid']",Shimit Amin
Bahubali 2 - The Conclusion,2017-04-28,All Time Blockbuster,5103600000.0,Masala,167 min,70.09% (109 Ratings),1950000000.0,Arka Mediaworks |  Dharma Productions Pvt. Ltd.,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']",S.S. Rajamouli
Dangal,2016-12-23,All Time Blockbuster,3745300000.0,Drama,161 min,71.66% (160 Ratings),1320000000.0,Aamir Khan Productions |  UTV Motion Pictures,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']",Nitish Tiwari
Bajrangi Bhaijaan,2015-07-17,All Time Blockbuster,3406052890.0,Masala,159 min,69.82% (626 Ratings),1250000000.0,Eros International |  Salman Khan Films,"['Salman Khan', 'Kareena Kapoor', 'Nawazuddin Siddiqui', 'Harshaali Malhotra']",Kabir Khan
PK,2014-12-19,All Time Blockbuster,3377250000.0,Drama,153 min,64.91% (379 Ratings),1220000000.0,Rajkumar Hirani Films |  UTV Motion Pictures |  Vidhu Vinod Chopra Productions,"['Aamir Khan', 'Anushka Sharma', 'Sanjay Dutt', 'Saurabh Shukla']",Rajkumar Hirani
Dhoom 3,2013-12-20,All Time Blockbuster,2865192810.0,Action,172 min,40.34% (267 Ratings),1750000000.0,Yash Raj Films,"['Aamir Khan', 'Abhishek Bachchan', 'Katrina Kaif', 'Uday Chopra']",Vijay Krishna Acharya
Tiger Zinda Hai,2017-12-22,Blockbuster,3390000000.0,Action,161 min,67.57% (101 Ratings),2100000000.0,Yash Raj Films,"['Salman Khan', 'Katrina Kaif', 'Paresh Rawal', 'Sajjad Delafrooz']",Ali Abbas Zafar
Sultan,2016-07-06,Blockbuster,3085614450.0,Masala,170 min,74.81% (242 Ratings),1450000000.0,Yash Raj Films,"['Salman Khan', 'Anushka Sharma', 'Amit Sadh', 'Randeep Hooda']",Ali Abbas Zafar
War,2019-10-02,Blockbuster,2927150000.0,Action,156 min,85.50% (20 Ratings),2050000000.0,Yash Raj Films,"['Hrithik Roshan', 'Tiger Shroff', 'Vaani Kapoor', 'Ashutosh Rana']",Siddharth Anand
Padmaavat,2018-01-25,Blockbuster,2822800000.0,Drama,163 min,56.46% (48 Ratings),2150000000.0,Sanjay Leela Bhansali Films |  Viacom 18 Motion Pictures,"['Deepika Padukone', 'Shahid Kapoor', 'Ranveer Singh', 'Aditi Rao Hydari']",Sanjay Leela Bhansali
Uri - The Surgical Strike,2019-01-11,Blockbuster,2440050000.0,Action,138 min,90.56% (9 Ratings),440000000.0,RSVP,"['Vicky Kaushal', 'Yami Gautam', 'Paresh Rawal', 'Mohit Raina']",Aditya Dhar
Chennai Express,2013-08-08,Blockbuster,2426080590.0,Masala,142 min,55.50% (369 Ratings),1150000000.0,Red Chillies Entertainment |  UTV Motion Pictures,"['Shahrukh Khan', 'Deepika Padukone', 'Niketan Dheer', 'Sathyaraj']",Rohit Shetty
Dabangg,2010-09-10,Blockbuster,2412520620.0,Action,125 min,65.19% (291 Ratings),410000000.0,Arbaaz Khan Production Pvt. Ltd. |  Shree Ashtavinayak Cinevision Ltd.,"['Salman Khan', 'Sonakshi Sinha', 'Vinod Khanna', 'Dimple Kapadia']",Abhinav Kashyap
Simmba,2018-12-28,Blockbuster,2398450000.0,Masala,159 min,52.81% (32 Ratings),1390000000.0,Dharma Productions Pvt. Ltd. |  Reliance Entertainment |  Rohit Shetty Productions,"['Ranveer Singh', 'Sara Ali Khan', 'Ashutosh Rana', 'Sonu Sood']",Rohit Shetty
Ek Tha Tiger,2012-08-15,Blockbuster,2379149630.0,Action,133 min,61.28% (247 Ratings),920000000.0,Yash Raj Films,"['Salman Khan', 'Katrina Kaif', 'Ranvir Shorey', 'Girish Karnad']",Kabir Khan
Kick,2014-07-25,Blockbuster,2326544640.0,Action,146 min,61.06% (376 Ratings),1400000000.0,Nadiadwala Grandson Entertainment |  UTV Motion Pictures,"['Salman Khan', 'Jacqueline Fernandez', 'Randeep Hooda', 'Mithun Chakraborty']",Sajid Nadiadwala
Bodyguard,2011-08-31,Blockbuster,2129973160.0,Action,139 min,57.77% (276 Ratings),700000000.0,Reel Life Productions |  Reliance Entertainment,"['Salman Khan', 'Kareena Kapoor', 'Raj Babbar', 'Mahesh Manjrekar']",Siddique
Krrish 3,2013-11-01,Blockbuster,2098333230.0,Action,152 min,38.53% (160 Ratings),950000000.0,Filmkraft Pvt. Ltd.,"['Hrithik Roshan', 'Priyanka Chopra', 'Kangana Ranaut', 'Vivek Oberoi']",Rakesh Roshan
Golmaal Again,2017-10-20,Blockbuster,2055000000.0,Comedy,151 min,65.83% (30 Ratings),1420000000.0,Mangl Murti Films |  Reliance Entertainment |  Rohit Shetty Productions,"['Ajay Devgn', 'Tabu', 'Arshad Warsi', 'Shreyas Talpade']",Rohit Shetty
Dabangg 2,2012-12-21,Blockbuster,1974177760.0,Action,129 min,60.69% (274 Ratings),840000000.0,Arbaaz Khan Production Pvt. Ltd.,"['Salman Khan', 'Sonakshi Sinha', 'Prakash Raj', 'Vinod Khanna']",Arbaaz Khan
Yeh Jawaani Hai Deewani,2013-05-31,Blockbuster,1948788880.0,Love Story,159 min,50.15% (164 Ratings),750000000.0,Dharma Productions Pvt. Ltd. |  UTV Motion Pictures,"['Ranbir Kapoor', 'Deepika Padukone', 'Aditya Roy Kapoor', 'Kalki Koechlin']",Ayan Mukherji
Rowdy Rathore,2012-06-01,Blockbuster,1932536150.0,Action,140 min,63.23% (82 Ratings),770000000.0,MR Media |  Sanjay Leela Bhansali Films |  UTV Motion Pictures,"['Akshay Kumar', 'Sonakshi Sinha', 'M. Naseer', 'Yashpal Sharma']",Prabhu Deva
Ready,2011-06-03,Blockbuster,1774528840.0,Comedy,149 min,58.71% (236 Ratings),610000000.0,One Up Entertainment Pvt. Ltd. |  Rawail Grandsons Entertainment and Software Pvt. Ltd. |  Sohail Khan Productions |  T-Series,"['Salman Khan', 'Asin', 'Paresh Rawal', 'Mahesh Manjrekar']",Anees Bazmee
Golmaal 3,2010-11-05,Blockbuster,1703363040.0,Comedy,141 min,61.30% (27 Ratings),500000000.0,Shree Ashtavinayak Cinevision Ltd.,"['Mithun Chakraborty', 'Ajay Devgn', 'Kareena Kapoor', 'Arshad Warsi']",Rohit Shetty
Baaghi 2,2018-03-30,Blockbuster,1607450000.0,Action,144 min,66.25% (32 Ratings),590000000.0,Fox Star Studio India Pvt. Ltd. |  Nadiadwala Grandson Entertainment,"['Tiger Shroff', 'Disha Patani', 'Manoj Bajpai', 'Randeep Hooda']",Ahmed Khan
Tanu Weds Manu Returns,2015-05-22,Blockbuster,1488475000.0,Rom - Com,120 min,57.02% (218 Ratings),390000000.0,Colour Yellow Picture Ltd. |  Eros International,"['R. Madhavan', 'Kangana Ranaut', 'Jimmy Shergill', 'Deepak Dobriyal']",Anand L. Rai
Bahubali - The Beginning,2015-07-10,Blockbuster,1426585780.0,Masala,159 min,82.86% (7 Ratings),1700000000.0,Arka Mediaworks |  Dharma Productions Pvt. Ltd.,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']",S.S. Rajamouli
Badhaai Ho,2018-10-18,Blockbuster,1344650000.0,Comedy,125 min,82.00% (10 Ratings),290000000.0,Chrome Pictures |  Junglee Pictures,"['Ayushman Khurana', 'Sanya Malhotra', 'Gajraj Rao', 'Neena Gupta']",Amit Ravindernath Sharma
Aashiqui 2,2013-04-26,Blockbuster,947659180.0,Love Story,140 min,70.40% (25 Ratings),150000000.0,T-Series |  Vishesh Films Pvt. Ltd.,"['Aditya Roy Kapoor', 'Shraddha Kapoor', 'Shaad Randhawa', 'Mahesh Thakur']",Mohit Suri
Housefull 4,2019-10-25,Super Hit,2056050000.0,Comedy,142 min,77.14% (7 Ratings),1620000000.0,Fox Star Studio India Pvt. Ltd. |  Nadiadwala Grandson Entertainment,"['Akshay Kumar', 'Bobby Deol', 'Riteish Deshmukh', 'Kriti Sanon']",Sajid Khan
Good Newwz,2019-12-27,Super Hit,1963350000.0,Comedy,134 min,85.00% (5 Ratings),1170000000.0,Cape Of Good Films Pvt. Ltd. |  Dharma Productions Pvt. Ltd. |  Zee Studios,"['Akshay Kumar', 'Kareena Kapoor', 'Diljit Dosanjh', 'Kiara Advani']",Raj Mehta
Mission Mangal,2019-08-15,Super Hit,1926700000.0,Drama,133 min,83.64% (11 Ratings),950000000.0,Cape Of Good Films Pvt. Ltd. |  Fox Star Studio India Pvt. Ltd. |  Hope Productions Pvt. Ltd.,"['Akshay Kumar', 'Vidya Balan', 'Sonakshi Sinha', 'Taapsee Pannu']",Jagan Shakti
Happy New Year,2014-10-24,Super Hit,1897241760.0,Masala,179 min,46.25% (360 Ratings),1500000000.0,Red Chillies Entertainment,"['Shahrukh Khan', 'Deepika Padukone', 'Abhishek Bachchan', 'Boman Irani']",Farah Khan
2.0,2018-11-29,Super Hit,1858900000.0,Sci Fi / Fantasy,149 min,74.50% (30 Ratings),5750000000.0,Dharma Productions Pvt. Ltd. |  Lyca Productions,"['Rajnikant', 'Akshay Kumar', 'Amy Jackson', 'Adil Hussain']",S. Shankar
Singham Returns,2014-08-15,Super Hit,1627869590.0,Action,145 min,54.37% (63 Ratings),1050000000.0,Ajay Devgn Films |  Reliance Entertainment |  Rohit Shetty Productions,"['Ajay Devgn', 'Kareena Kapoor', 'Amol Gupte', 'Anupam Kher']",Rohit Shetty
Agneepath,2012-01-26,Super Hit,1625176830.0,Action,168 min,53.52% (108 Ratings),710000000.0,Dharma Productions Pvt. Ltd.,"['Rishi Kapoor', 'Sanjay Dutt', 'Hrithik Roshan', 'Priyanka Chopra']",Karan Malhotra
Singham,2011-07-22,Super Hit,1534969370.0,Action,144 min,65.91% (33 Ratings),410000000.0,Reliance Entertainment,"['Ajay Devgn', 'Kajal Aggarwal', 'Prakash Raj', 'Sonali Kulkarni']",Rohit Shetty
Housefull 2,2012-04-06,Super Hit,1515831540.0,Comedy,156 min,56.05% (43 Ratings),720000000.0,Eros International |  Nadiadwala Grandson Entertainment,"['Akshay Kumar', 'John Abraham', 'Rishi Kapoor', 'Randhir Kapoor']",Sajid Khan
Raajneeti,2010-06-04,Super Hit,1476824988.0,Thriller,167 min,61.89% (61 Ratings),610000000.0,Prakash Jha Productions |  UTV Motion Pictures |  Walkwater Media Ltd.,"['Nana Patekar', 'Ajay Devgn', 'Ranbir Kapoor', 'Katrina Kaif']",Prakash Jha
Chhichhore,2019-09-06,Super Hit,1473250000.0,Drama,146 min,91.67% (6 Ratings),530000000.0,Fox Star Studio India Pvt. Ltd. |  Nadiadwala Grandson Entertainment,"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Tahir Bhasin']",Nitish Tiwari
Dream Girl,2019-09-13,Super Hit,1393700000.0,Comedy,142 min,90.00% (3 Ratings),360000000.0,Balaji Motion Pictures,"['Ayushman Khurana', 'Nushrat Bharucha', 'Anu Kapoor', 'Vijay Raaz']",Raaj Shaandilyaa
Judwaa 2,2017-09-29,Super Hit,1323900000.0,Masala,149 min,35.00% (19 Ratings),630000000.0,Fox Star Studio India Pvt. Ltd. |  Nadiadwala Grandson Entertainment,"['Varun Dhawan', 'Jacqueline Fernandez', 'Taapsee Pannu', 'Anupam Kher']",David Dhawan
Toilet Ek Prem Katha,2017-08-11,Super Hit,1320700000.0,Drama,135 min,88.04% (23 Ratings),750000000.0,Cape Of Good Films Pvt. Ltd. |  KriArj Entertainment |  Plan C Studio |  Viacom 18 Motion Pictures,"['Akshay Kumar', 'Bhumi Pednekar', 'Divyendu Sharma', 'Anupam Kher']",Shree Narayan Singh
Stree,2018-08-31,Super Hit,1245650000.0,Comedy,129 min,86.18% (17 Ratings),240000000.0,D2R Films |  Maddock Films,"['Rajkummar Rao', 'Shraddha Kapoor', 'Pankaj Tripathi', 'Aparshakti Khurana']",Amar Kaushik
Rustom,2016-08-12,Super Hit,1244500000.0,Drama,150 min,69.67% (75 Ratings),730000000.0,Cape Of Good Films Pvt. Ltd. |  Essel Vision Productions Ltd. |  KriArj Entertainment |  Plan C Studio,"['Akshay Kumar', ""Ileana D'Cruz"", 'Arjan Bajwa', 'Esha Gupta']",Tinu Suresh Desai
Airlift,2016-01-22,Super Hit,1234650000.0,Drama,144 min,70.00% (61 Ratings),680000000.0,Abundantia Entertainment |  Cape Of Good Films Pvt. Ltd. |  Emmay Entertainment |  T-Series,"['Akshay Kumar', 'Nimrat Kaur', 'Purab Kohli', 'Kumud Mishra']",Raja Krishna Menon
Raazi,2018-05-11,Super Hit,1223950000.0,Drama,140 min,72.08% (24 Ratings),380000000.0,Dharma Productions Pvt. Ltd. |  Junglee Pictures,"['Alia Bhatt', 'Vicky Kaushal', 'Jaideep Ahlawat', 'Rajit Kapoor']",Meghna Gulzar
Bhaag Milkha Bhaag,2013-07-12,Super Hit,1189526730.0,Drama,188 min,60.50% (30 Ratings),530000000.0,Rakesh Omprakash Mehra Pictures |  Viacom 18 Motion Pictures,"['Farhan Akhtar', 'Sonam Kapoor', 'Rebecca Breeds', 'Prakash Raj']",Rakesh Omprakash Mehra
Badrinath Ki Dulhania,2017-03-10,Super Hit,1181640790.0,Love Story,139 min,67.11% (19 Ratings),440000000.0,Dharma Productions Pvt. Ltd. |  Fox Star Studio India Pvt. Ltd.,"['Varun Dhawan', 'Alia Bhatt', 'Sahil Vaid', 'Gauhar Khan']",Shashank Khaitan
ABCD 2,2015-06-19,Super Hit,1171158260.0,Drama,154 min,47.68% (69 Ratings),650000000.0,UTV Motion Pictures,"['Prabhu Deva', 'Varun Dhawan', 'Shraddha Kapoor', 'Sushant Pujari']",Remo D'Souza
Grand Masti,2013-09-13,Super Hit,1167407630.0,Comedy,136 min,30.29% (17 Ratings),340000000.0,Maruti International,"['Vivek Oberoi', 'Aftab Shivdasani', 'Riteish Deshmukh', 'Manjari Fadnis']",Indra Kumar
Barfi!,2012-09-14,Super Hit,1158559990.0,Drama,151 min,59.94% (79 Ratings),500000000.0,UTV Motion Pictures,"['Ranbir Kapoor', 'Priyanka Chopra', ""Ileana D'Cruz"", 'Roopa Ganguly']",Anurag Basu
Bala,2019-11-08,Super Hit,1109750000.0,Comedy,133 min,66.67% (3 Ratings),320000000.0,Jio Studios |  Maddock Films,"['Ayushman Khurana', 'Bhumi Pednekar', 'Yami Gautam', 'Javed Jaffrey']",Amar Kaushik
The Dirty Picture,2011-12-02,Super Hit,1100761820.0,Drama,153 min,55.00% (13 Ratings),310000000.0,ALT Entertainment |  Balaji Motion Pictures,"['Naseeruddin Shah', 'Vidya Balan', 'Emraan Hashmi', 'Tusshar Kapoor']",Milan Luthria
Ek Villain,2014-06-27,Super Hit,1080854630.0,Thriller,130 min,56.47% (34 Ratings),390000000.0,Balaji Motion Pictures,"['Riteish Deshmukh', 'Sidharth Malhotra', 'Shraddha Kapoor', 'Kamaal R. Khan']",Mohit Suri
OMG! Oh My God,2012-09-28,Super Hit,1050080230.0,Comedy,132 min,72.33% (45 Ratings),250000000.0,Grazing Goat Pictures Pvt. Ltd. |  Playtime Creationn |  S. Spice Studios |  Viacom 18 Motion Pictures,"['Mithun Chakraborty', 'Akshay Kumar', 'Paresh Rawal', 'Om Puri']",Umesh Shukla
2 States,2014-04-18,Super Hit,1018600000.0,Love Story,149 min,56.83% (52 Ratings),450000000.0,Dharma Productions Pvt. Ltd. |  Nadiadwala Grandson Entertainment |  UTV Motion Pictures,"['Arjun Kapoor', 'Alia Bhatt', 'Amrita Singh', 'Revathi']",Abhishek Varman
Sonu Ke Titu Ki Sweety,2018-02-23,Super Hit,1008050000.0,Comedy,140 min,58.57% (14 Ratings),400000000.0,Luv Films |  T-Series,"['Kartik Aryan', 'Nushrat Bharucha', 'Sunny Singh Nijjar', 'Ishita Raj']",Luv Ranjan
Raaz 3,2012-09-07,Super Hit,915249890.0,Horror,133 min,45.00% (5 Ratings),310000000.0,Fox Star Studio India Pvt. Ltd. |  Vishesh Films Pvt. Ltd.,"['Bipasha Basu', 'Emraan Hashmi', 'Esha Gupta', 'Manish Chaudhary']",Vikram Bhatt
Fukrey Returns,2017-12-08,Super Hit,779050000.0,Comedy,135 min,71.25% (4 Ratings),290000000.0,Excel Entertainment,"['Pulkit Samrat', 'Ali Fazal', 'Varun Sharma', 'Manjot Singh']",Mrighdeep Singh Lamba
Murder 2,2011-07-08,Super Hit,638184120.0,Thriller,130 min,70.83% (6 Ratings),130000000.0,Vishesh Films Pvt. Ltd.,"['Emraan Hashmi', 'Jacqueline Fernandez', 'Sudhanshu Pandey', 'Prashant Narayanan']",Mohit Suri
Pyaar Ka Punchnama 2,2015-10-16,Super Hit,603825000.0,Comedy,136 min,55.00% (13 Ratings),220000000.0,Panorama Studios |  Viacom 18 Motion Pictures,"['Kartik Aryan', 'Nushrat Bharucha', 'Sunny Singh Nijjar', 'Sonalli Sehgal']",Luv Ranjan
Prem Ratan Dhan Payo,2015-11-12,Hit,2189117710.0,Drama,165 min,57.01% (259 Ratings),1800000000.0,Fox Star Studio India Pvt. Ltd. |  Rajshri Productions Pvt. Ltd.,"['Salman Khan', 'Sonam Kapoor', 'Neil Nitin Mukesh', 'Anupam Kher']",Sooraj Barjatya
Bajirao Mastani,2015-12-18,Hit,1837500000.0,Drama,158 min,59.91% (53 Ratings),1450000000.0,Eros International |  Sanjay Leela Bhansali Films,"['Ranveer Singh', 'Deepika Padukone', 'Priyanka Chopra', 'Tanvi Azmi']",Sanjay Leela Bhansali
Ra.One,2011-10-26,Hit,1553145500.0,Action,151 min,44.77% (219 Ratings),1300000000.0,Eros International |  Red Chillies Entertainment,"['Shahrukh Khan', 'Kareena Kapoor', 'Arjun Rampal', 'Shahana Goswami']",Anubhav Sinha
Kesari,2019-03-21,Hit,1518750000.0,Drama,151 min,80.31% (16 Ratings),1260000000.0,Azure Entertainment |  Dharma Productions Pvt. Ltd. |  Zee Studios,"['Akshay Kumar', 'Parineeti Chopra', 'Vansh Bhardwaj', 'Suvinder Vicky']",Anurag Singh
Total Dhamaal,2019-02-22,Hit,1500750000.0,Comedy,129 min,60.00% (8 Ratings),1130000000.0,Ajay Devgn Films |  Fox Star Studio India Pvt. Ltd. |  Maruti International,"['Anil Kapoor', 'Madhuri Dixit', 'Ajay Devgn', 'Riteish Deshmukh']",Indra Kumar
Saaho,2019-08-30,Hit,1488400000.0,Action,162 min,71.88% (8 Ratings),3250000000.0,T-Series |  UV Creations,"['Prabhas', 'Shraddha Kapoor', 'Jackie Shroff', 'Neil Nitin Mukesh']",Sujeeth
Super 30,2019-07-12,Hit,1470000000.0,Drama,154 min,100.00% (10 Ratings),1200000000.0,HRX Films |  Nadiadwala Grandson Entertainment |  Reliance Entertainment,"['Hrithik Roshan', 'Mrunal Thakur', 'Pankaj Tripathi', 'Aditya Shrivastava']",Vikas Bahl
Don 2,2011-12-23,Hit,1435529590.0,Action,146 min,56.20% (216 Ratings),760000000.0,Excel Entertainment |  Reliance Entertainment,"['Shahrukh Khan', 'Priyanka Chopra', 'Lara Datta', 'Boman Irani']",Farhan Akhtar
Bol Bachchan,2012-07-06,Hit,1382732260.0,Comedy,154 min,66.88% (24 Ratings),660000000.0,Ajay Devgn Films |  Shree Ashtavinayak Cinevision Ltd.,"['Ajay Devgn', 'Abhishek Bachchan', 'Asin', 'Prachi Desai']",Rohit Shetty
Holiday - A Soldier Is Never Off Duty,2014-06-06,Hit,1344264260.0,Thriller,170 min,59.61% (90 Ratings),860000000.0,Hari Om Entertainment |  Reliance Entertainment |  Sunshine Pictures Ltd.,"['Akshay Kumar', 'Sonakshi Sinha', 'Farhad', 'Sumeet Raghavan']",A.R. Murugadoss
